TimesH,Frame,NoMissing,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X
8,8,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
9,9,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
10,10,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
11,11,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
12,12,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
13,13,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
14,14,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
15,15,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
16,16,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
17,17,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
18,18,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
19,19,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
20,20,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
21,21,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
22,22,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
23,23,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
24,24,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
25,25,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
26,26,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
27,27,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
28,28,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
29,29,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
30,30,,1,8,1,7,1,6,1,5,1,4,1,3,1,2,1,1,2,8,2,7,2,6,2,5,2,4,2,3,2,2,2,1,3,8,3,7,3,6,3,5,3,4,3,3,3,2,3,1,4,8,4,7,4,6,4,5,4,4,4,3,4,2,4,1,5,8,5,7,5,6,5,5,5,4,5,3,5,2,5,1,6,8,6,7,6,6,6,5,6,4,6,3,6,2,6,1,7,8,7,7,7,6,7,5,7,4,7,3,7,2,7,1,8,8,8,7,8,6,8,5,8,4,8,3,8,2,8,1,9,8,9,7,9,6,9,5,9,4,9,3,9,2,9,1,10,8,10,7,10,6,10,5,10,4,10,3,10,2,10,1,11,8,11,7,11,6,11,5,11,4,11,3,11,2,11,1,12,8,12,7,12,6,12,5,12,4,12,3,12,2,12,1
